language,item,text,duration
en,0,The changes introduced a single taxation regime.,5.976
en,1,The Board rejected the application both times.,4.536
en,2,The stick figure's earliest roots are in prehistoric art.,4.68
en,3,The tree is large and beautiful and bears fruit plentifully.,4.536
en,4,"The game is similar to dodgeball in its major factors, though typically less organized.",5.76
en,5,The building is slated for renovation by developer Tom Gilmore and Associates.,5.94
en,6,The final is held at the home ground of the highest ranked semi-final winner.,5.832
en,7,"He is an author, preacher and speaker on Islam.",4.644
en,8,They completed research of a large part of Vom Cave.,4.824
en,9,"Some wore it with ordinary shoes, trousers and a hat.",4.752
en,10,It was operated by the Roslyn Union Free School District.,4.5
en,11,He made his wife Yang Yan empress the same year.,5.22
en,12,"But rather than firing him, the club limited his expansive duties.",5.904
en,13,They regard the grass as a hostage for the observance of the treaty.,5.328
en,14,Most of the flags only had slight differences.,4.572
en,15,Jail consolidation has also led to jail overcrowding statewide.,4.284
en,16,Dacoits sensed the danger and ran away.,4.968
en,17,It is also a place where Tehran youngsters hang out during the evening.,5.256
en,18,While working in the steel industry he developed his ideas on management.,4.356
en,19,In these practices we see a combination of religion with magic.,5.868
en,20,It is not in communion with the Roman Catholic Church or under papal jurisdiction.,5.724
en,21,The hotel has a counterpart at the extreme west end of Princes Street.,4.608
en,22,He is best remembered as friend and mentor to his pupil Charles Darwin.,5.868
en,23,There are five established committees that provide input to the governing body.,4.968
en,24,"They are elongated fish, although not as much so as the true eels.",5.58
en,25,Clementine mentions jokingly that someone has finally found her husband's tomb.,5.688
en,26,This ministry was to last less than a year.,4.248
en,27,OpenDarwin was a community-led operating system based on the Darwin system.,5.688
en,28,Mount Pleasant is considered to have a humid subtropical climate.,5.472
en,29,The paper is free on campus and online.,5.04
en,30,It belongs to the Pickering and Hull area meeting.,5.508
en,31,Dreamslayer takes over the minds and bodies of all the inhabitants of the island.,5.94
en,32,"There, she asks Heidi to call her mother and make amends.",4.356
en,33,There is little negative impact on the environment.,4.572
en,34,"However, the exact nature of these processes remains debated.",5.832
en,35,Repeated characters can be a problem in flaghoist.,4.248
en,36,Her research group consider the physiology of mutagenic activity.,4.896
en,37,This led to an election to fill his vacated seat.,4.716
en,38,It wasn't exactly an experience that set me up for retirement.,5.22
en,39,Low molecular weight alkynes have strong odors.,5.292
en,40,"Falsehood, like a scorpion, runs through words.",4.824
en,41,"Stars, except neutron stars, have no solid surface.",5.22
